name,POS,TEAM,AGE,START,END,YRS,VALUE,AAV
Kirill Kaprizov,L,MIN,28,2026,2033,8,136000000,17000000
Leon Draisaitl,C,EDM,28,2025,2032,8,112000000,14000000
Shea Weber,D,CHI,26,2012,2025,14,110000000,7857143
Jack Eichel,C,VGK,28,2026,2033,8,108000000,13500000
Sidney Crosby,C,PIT,25,2013,2024,12,104400000,8700000
Nathan MacKinnon,C,COL,27,2023,2030,8,100800000,12600000
Connor McDavid,C,EDM,20,2018,2025,8,100000000,12500000
Mitch Marner,R,VGK,28,2025,2032,8,96000000,12000000
Kyle Conner,L,WPG,28,2026,2033,8,96000000,12000000
Mikko Rantanen,R,DAL,28,2025,2032,8,96000000,12000000
Elias Petterson,C,VAN,25,2024,2031,8,92800000,11600000
Martin Necas,C,COL,26,2026,2033,8,92000000,11500000
Erik Karlsson,D,PIT,28,2019,2026,8,92000000,11500000
William Nylander,C,TOR,27,2024,2031,8,92000000,11500000
Igor Shesterkin,G,NYR,28,2025,2032,8,92000000,11500000
David Pastrnak,R,BOS,26,2023,2030,8,90000000,11250000
Drew Doughty,D,LAK,29,2019,2026,8,88000000,11000000
Rasmus Dahlin,D,BUF,23,2024,2031,8,88000000,11000000
Adrian Kempe,L,LAK,29,2026,2033,8,85000000,10625000
Thomas Harley,D,DAL,24,2026,2033,8,84700000,10587500
Carey Price,G,SJS,30,2018,2025,8,84000000,10500000
Johnathan Huberdeau,L,CGY,29,2023,2030,8,84000000,10500000
Artemi Panarin,L,LAK,27,2019,2025,7,81500000,11642857
Logan Cooley,C,UTA,21,2026,2033,8,80000000,10000000
Jack Eichel,C,VGK,21,2018,2025,8,80000000,10000000
Aleksander Barkov,C,FLA,26,2022,2029,8,80000000,10000000
Tyler Seguin,C,DAL,26,2019,2026,8,78800000,9850000
Sebastian Aho,L,CAR,26,2024,2031,8,78000000,9750000
Noah Dobson,D,MTL,25,2025,2032,8,76000000,9500000
Seth Jones,D,FLA,26,2022,2029,8,76000000,9500000
Brayden Point,C,TBL,25,2022,2029,8,76000000,9500000
Matthew Tkachuk,L,FLA,24,2022,2029,8,76000000,9500000
Andrei Vasilevsky,G,TBL,25,2020,2027,8,76000000,9500000
Charlie McAvoy,D,BOS,24,2022,2029,8,76000000,9500000
Mark Stone,R,VGK,26,2019,2026,8,76000000,9500000
Nikita Kucherov,R,TBL,25,2019,2026,8,76000000,9500000
Darnell Nurse,D,EDM,26,2022,2029,8,74000000,9250000
Matthew Barzal,C,NYI,25,2023,2030,8,73200000,9150000
Roman Josi,D,NSH,29,2020,2027,8,72472000,9059000
Jackson Lacombe,D,ANA,24,2026,2033,8,72000000,9000000
Jakob Chychrun,D,WAS,26,2025,2032,8,72000000,9000000
Lane Hutson,D,MTL,21,2026,2033,8,70800000,8850000
Time Meier,L,NJD,26,2023,2030,8,70400000,8800000
Sergei Bobrovsky,G,FLA,30,2019,2025,7,70000000,10000000
Travis Konecny,C,PHI,27,2025,2032,8,70000000,8750000
Dylan Larkin,C,DET,26,2023,2030,8,69600000,8700000
Sam Reinhart,C,FLA,28,2024,2031,8,69000000,8625000
Leon Draisaitl,C,EDM,21,2017,2024,8,68000000,8500000
Pierre-Luc Dubois,C,WAS,25,2023,2030,8,68000000,8500000
Filip Forsberg,C,NSH,27,2022,2029,8,68000000,8500000
Bo Horvat,C,NYI,27,2023,2030,8,68000000,8500000
Brock Faber,D,MIN,21,2025,2032,8,68000000,8500000
Mikhail Sergachev,D,UTA,24,2023,2030,8,68000000,8500000
Mika Zibanejad,C,NYR,28,2022,2029,8,68000000,8500000
Miro Heiskanen,D,DAL,21,2021,2028,8,67600000,8450000
Roope Hintz,L,DAL,26,2023,2030,8,67600000,8450000
Tim Stützle,C,OTT,20,2023,2030,8,66800000,8350000
Adam Fox,D,NYR,23,2022,2028,7,66500000,9500000
Jake Ottinger,G,DAL,26,2025,2032,8,66000000,8250000
Jermy Swayman,G,BOS,25,2024,2031,8,66000000,8250000
Ilya Sorokin,G,NYI,27,2024,2031,8,66000000,8250000
Tomas Hertl,C,VGK,28,2022,2029,8,65100000,8137500
Jordan Kyrou,C,STL,24,2023,2030,8,65000000,8125000
Robert Thomas ,C,STL,23,2023,2030,8,65000000,8125000
Lucas Raymond,R,DET,22,2024,2031,8,64600000,8075000
Sam Bennett,C,FLA,29,2025,2032,8,64000000,8000000
Nick Schmaltz,C,UTA,30,2026,2033,8,64000000,8000000
John Carlson,D,ANA,27,2018,2025,8,64000000,8000000
Jake Sanderson,D,OTT,21,2024,2031,8,64000000,8000000
Jack Hughes,C,NJD,20,2022,2029,8,64000000,8000000
Thomas Chabot,D,OTT,22,2020,2027,8,64000000,8000000
Logan Couture,C,SJS,29,2019,2026,8,64000000,8000000
Josh Norris,C,BUF,22,2022,2029,8,63600000,7950000
Seth Jarvis,R,CAR,22,2024,2031,8,63200000,7900000
Luke Hughes,D,NJD,22,2025,2031,7,63000000,9000000
Victor Hedman,D,TBL,25,2016,2024,9,63000000,7000000
Jesper Bratt,L,NJD,24,2023,2030,8,63000000,7875000
Jake Guentzel,C,TBL,29,2024,2030,7,63000000,9000000
Dougie Hamilton,D,NJD,28,2021,2027,7,63000000,9000000
Nick Suzuki,C,MTL,22,2022,2029,8,63000000,7875000
Cole Caufield,R,MTL,22,2023,2030,8,62800000,7850000
Andrei Svechnikov,R,CAR,20,2021,2028,8,62000000,7750000
Sean Couturier,C,PHI,29,2022,2029,8,62000000,7750000
Juuse Saros,G,NSH,29,2025,2032,8,61920000,7740000
Alex Pietreangelo,D,VGK,29,2020,2026,7,61600000,8800000
Juraj Slafkovsky,L,MTL,20,2025,2032,8,60800000,7600000
K'Andre Miller,D,CAR,25,2025,2032,8,60000000,7500000
Morgan Rielly,D,TOR,27,2022,2029,8,60000000,7500000
Moritz Seider,D,DET,23,2024,2030,7,59850000,8550000
Ivan Provorov,D,CBJ,28,2025,2031,7,59500000,8500000
Connor Hellebuyck,G,WPG,30,2024,2030,7,59500000,8500000
Mark Scheifele,C,WPG,30,2024,2030,7,59500000,8500000
Noah Hanifin,D,VGK,27,2024,2031,8,58800000,7350000
Owen Power,D,BUF,20,2024,2030,7,58450000,8350000
Filip Hronek,D,VAN,26,2024,2031,8,58000000,7250000
Zachary Werenski,D,CBJ,24,2022,2027,6,57500000,9583333
